0.000000, 29
0.014142, 154
0.028284, 328
0.042426, 501
0.056569, 814
0.070711, 1054
0.084853, 1202
0.098995, 1446
0.113137, 1612
0.127279, 1801
0.141421, 2397
0.155563, 2695
0.169706, 3278
0.183848, 3281
0.197990, 3709
0.212132, 3776
0.226274, 4054
0.240416, 4516
0.254558, 4438
0.268701, 4628
0.282843, 5147
0.296985, 4638
0.311127, 4737
0.325269, 4860
0.339411, 5177
0.353553, 5608
0.367696, 6361
0.381838, 6352
0.395980, 5835
0.410122, 6452
0.424264, 6598
0.438406, 6716
0.452548, 7190
0.466690, 7275
0.480833, 7419
0.494975, 7926
0.509117, 7685
0.523259, 8575
0.537401, 8404
0.551543, 9090
0.565685, 9281
0.579828, 9564
0.593970, 10035
0.608112, 10415
0.622254, 9563
0.636396, 10076
0.650538, 10240
0.664680, 10809
0.678823, 10738
0.692965, 11398
0.707107, 11943
0.721249, 11545
0.735391, 11709
0.749533, 11890
0.763675, 12322
0.777817, 12597
0.791960, 12316
0.806102, 11997
0.820244, 13336
0.834386, 14036
0.848528, 13291
0.862670, 14173
0.876812, 13605
0.890955, 13573
0.905097, 13968
0.919239, 14182
0.933381, 14556
0.947523, 14829
0.961665, 15083
0.975807, 15120
0.989949, 14850
1.004092, 13563
1.018234, 11483
1.032376, 10432
1.046518, 9727
1.060660, 8930
1.074802, 8467
1.088944, 7907
1.103087, 7442
1.117229, 7022
1.131371, 6435
1.145513, 6030
1.159655, 5439
1.173797, 5065
1.187939, 4784
1.202082, 4409
1.216224, 4055
1.230366, 3640
1.244508, 3318
1.258650, 3044
1.272792, 2774
1.286934, 2502
1.301076, 2086
1.315219, 1797
1.329361, 1496
1.343503, 1275
1.357645, 1000
1.371787, 734
1.385929, 436
1.400071, 175
